,"Cor(METAL,ENERGY)","Cor(METAL,AGRICULTURAL)","Cor(ENERGY,AGRICULTURAL)"
8/06/1991,0.143622,0.050067,0.025290
8/07/1991,0.146224,0.042418,0.028088
8/08/1991,0.152067,0.037451,0.027084
8/09/1991,0.131451,0.064094,0.021974
8/12/1991,0.133340,0.064211,0.024680
8/13/1991,0.138677,0.068559,0.025965
8/14/1991,0.148061,0.086506,0.035906
8/15/1991,0.162325,0.098272,0.046663
8/16/1991,0.139550,0.080206,0.051254
8/19/1991,0.136181,0.067587,0.055808
8/20/1991,0.141627,0.041518,-0.042655
8/21/1991,0.146117,0.046010,-0.041580
8/22/1991,0.137935,0.048022,-0.088981
8/23/1991,0.085427,0.025076,-0.036411
8/28/1991,0.078727,0.028031,-0.018231
8/29/1991,0.072678,0.025293,-0.016111
8/30/1991,0.063057,0.042418,-0.018171
9/04/1991,0.060246,0.032825,-0.006199
9/05/1991,0.061789,0.040488,-0.016055
9/06/1991,0.064464,0.038216,-0.014455
9/09/1991,0.066590,0.040238,-0.012950
9/10/1991,0.067712,0.047735,-0.014246
9/11/1991,0.063057,0.055853,-0.020773
9/12/1991,0.072714,0.051506,-0.020757
9/13/1991,0.074973,0.057048,-0.025219
9/16/1991,0.080707,0.059431,-0.026100
9/17/1991,0.086525,0.065352,-0.018543
9/18/1991,0.083676,0.065232,-0.014334
9/19/1991,0.100031,0.082334,-0.004565
9/20/1991,0.102726,0.083941,0.007721
9/23/1991,0.120742,0.096794,0.027081
9/24/1991,0.146561,0.062151,-0.042328
9/25/1991,0.150294,0.068480,-0.041563
9/26/1991,0.155600,0.072046,-0.040595
9/27/1991,0.132663,0.094972,-0.042829
9/30/1991,0.131884,0.104703,-0.045705
10/01/1991,0.135232,0.098940,-0.042983
10/02/1991,0.129461,0.108187,-0.044205
10/03/1991,0.134560,0.112810,-0.042676
10/04/1991,0.148460,0.121047,-0.035178
10/07/1991,0.153926,0.125532,-0.033073
10/08/1991,0.142820,0.132003,-0.033853
10/09/1991,0.145769,0.137054,-0.036708
10/10/1991,0.168783,0.128052,-0.037167
10/11/1991,0.177578,0.127986,-0.038529
10/14/1991,0.178367,0.092905,-0.039193
10/15/1991,0.138950,0.123240,-0.060687
10/16/1991,0.112560,0.151073,-0.076029
10/17/1991,0.108818,0.160300,-0.089731
10/18/1991,0.122258,0.156568,-0.090667
10/21/1991,0.131679,0.158344,-0.089090
10/22/1991,0.135578,0.153769,-0.082113
10/23/1991,0.141987,0.151601,-0.082389
10/24/1991,0.159759,0.158027,-0.072582
10/25/1991,0.143912,0.161750,-0.059931
10/28/1991,0.152080,0.171466,-0.049262
10/29/1991,0.147616,0.174037,-0.048403
10/30/1991,0.134399,0.167706,-0.046433
10/31/1991,0.139285,0.171355,-0.044272
11/01/1991,0.138080,0.171211,-0.041091
11/04/1991,0.118497,0.173271,-0.037216
11/05/1991,0.125872,0.152242,-0.039043
11/15/1991,0.137605,0.157721,-0.034247
11/18/1991,0.165126,0.083680,-0.077026
11/19/1991,0.176584,0.078815,-0.085736
11/20/1991,0.134357,0.095424,-0.100896
11/21/1991,0.145655,0.103382,-0.093076
11/22/1991,0.154299,0.095391,-0.097075
11/25/1991,0.153280,0.099428,-0.062129
11/26/1991,0.155063,0.107649,-0.061953
11/27/1991,0.165789,0.110374,-0.060425
12/02/1991,0.163817,0.114095,-0.045307
12/03/1991,0.178985,0.119467,-0.040610
12/04/1991,0.185855,0.109646,-0.060066
12/05/1991,0.189389,0.115270,-0.059586
12/06/1991,0.184481,0.120155,-0.045747
12/09/1991,0.151227,0.098681,-0.021184
12/10/1991,0.143665,0.099740,-0.042174
12/11/1991,0.145177,0.105589,-0.040911
12/12/1991,0.155583,0.115105,-0.033642
12/13/1991,0.082850,0.109571,-0.033025
12/16/1991,0.088028,0.082765,-0.031320
12/17/1991,0.093985,0.084736,-0.036420
12/18/1991,0.117263,0.088324,-0.032961
12/19/1991,0.131022,0.103043,-0.018615
12/20/1991,0.138548,0.099961,-0.032527
12/30/1991,0.146057,0.101403,-0.024308
12/31/1991,0.150108,0.103534,-0.020276
1/02/1992,0.151865,0.104717,-0.018589
1/03/1992,0.152079,0.108464,-0.016258
1/06/1992,0.162623,0.118221,-0.011939
1/07/1992,0.166586,0.122061,-0.013108
1/08/1992,0.173431,0.125768,-0.012040
1/09/1992,0.125367,0.125612,-0.007562
1/10/1992,0.086880,0.082082,-0.000638
1/13/1992,0.091160,0.085365,0.000713
1/14/1992,0.048371,0.101151,-0.012079
1/15/1992,0.050423,0.101352,-0.009501
1/16/1992,0.073222,0.112348,0.002829
1/30/1992,0.112039,0.136434,0.016229
1/31/1992,0.116590,0.137047,0.017982
2/03/1992,0.121788,0.109796,0.015845
2/04/1992,0.126337,0.117108,0.017857
2/05/1992,0.131799,0.123292,0.028339
2/06/1992,0.136797,0.122780,0.029381
2/07/1992,0.140444,0.121853,0.031611
2/27/1992,0.132425,0.125572,0.033451
2/28/1992,0.138912,0.128384,0.035730
3/02/1992,0.143666,0.125319,0.038323
3/03/1992,0.139603,0.131829,0.032149
3/04/1992,0.137351,0.136558,0.033216
3/05/1992,0.143340,0.128695,0.023847
3/17/1992,0.143702,0.121524,0.031251
3/30/1992,0.139221,0.111769,0.039310
3/31/1992,0.142286,0.119837,0.031143
4/01/1992,0.157260,0.136424,0.045698
4/02/1992,0.143894,0.146622,0.020905
4/03/1992,0.151059,0.144117,0.014590
4/06/1992,0.152732,0.139228,0.027076
4/07/1992,0.155121,0.141568,0.031134
4/08/1992,0.172166,0.169109,0.062467
4/09/1992,0.125227,0.166762,0.060700
4/10/1992,0.119001,0.174551,0.057009
4/15/1992,0.124440,0.175361,0.058505
4/16/1992,0.075579,0.204139,0.030704
4/22/1992,0.063558,0.210796,0.018974
4/23/1992,0.067246,0.204051,-0.008053
4/24/1992,0.051319,0.207022,-0.063426
4/27/1992,0.065340,0.188741,-0.075749
4/28/1992,0.067893,0.190276,-0.075257
4/29/1992,0.073889,0.190316,-0.080486
4/30/1992,0.069460,0.193838,-0.088412
5/01/1992,0.069381,0.200906,-0.088588
5/06/1992,0.076376,0.203669,-0.087245
5/07/1992,0.082694,0.201830,-0.064440
5/08/1992,0.092799,0.170843,-0.071340
5/11/1992,0.099606,0.172670,-0.070235
5/12/1992,0.108114,0.174351,-0.069632
5/13/1992,0.105728,0.167748,-0.053418
5/18/1992,0.109661,0.151239,-0.044172
5/28/1992,0.115074,0.154940,-0.042679
5/29/1992,0.105795,0.173397,-0.046282
6/01/1992,0.092456,0.141845,-0.036221
6/02/1992,0.102992,0.150672,-0.029240
6/03/1992,0.104181,0.147991,-0.027069
6/04/1992,0.115411,0.152484,-0.023191
